Estado;Município;Unidade de Saúde;Endereço;Contato;CNES
Acre;Acrelândia;Unidade Mista de Saúde de Acrelândia;Avenida Paraná, 346 – Centro;(68) 3235-1188;5701929
Acre;Assis Brasil;Unidade Mista de Assis Brasil;Rua D. Giocondo Maria Grotti, s/n - Centro;(68) 3548-1135;2001020
Acre;Brasiléia;Hospital de Clínicas Raimundo Chaar;BR 317, km 01, Bairro Alberto Castro s/n;(68) 3546-3804;2001500
Acre;Cruzeiro do Sul;Hospital Regional do Juruá;Avenida 25 de Agosto, 5121 - Aeroporto Velho;(68) 3322-5516;5336171
Acre;Feijó;Hospital Geral de Feijó;Avenida Mal. Deodoro, s/n - Centro;(68) 99222-5074;2000636
Acre;Jordão;Hospital da Família de Jordão;Rua Romildo Magalhães, s/n – Centro;(68) 3464-1037;5353947
Acre;Mâncio Lima;Hospital Dr. Abel Pinheiro Maciel Filho;Avenida Japiim, s/n - Centro;(68) 99946-0048 / 99986 2932;2000083
Acre;Manoel Urbano;Unidade Mista de Manuel Urbano;Rua Francisco Freitas, s/n - São José;(68) 3611-1005;2000970
Acre;Marechal Thaumaturgo;Unidade Mista de Marechal Thaumaturgo;Rua 5 de novembro, s/n - Centro;(68) 3325-1048;2001594
Acre;Plácido de Castro;Hospital Dr. Manoel Marinho Monte;Rua Epitácio Pessoa, 550 - Centro;(68) 3237-1821;2000997
Acre;Porto Walter;Unidade Mista de Porto Walter;Rua Mamede Cameli, s/n - Centro;(68) 8422-2372;5661714
Acre;Rio Branco;HUERB - Hosp. de Urgência e Emergência de Rio Branco;Avenida Nações Unidas, 700 - Bosque;(68) 3223-3080;2001578
Acre;Santa Rosa do Purus;Unidade Mista de Santa Rosa do Purus;Rua Raimundo Fernandes de Moura, s/n - Cidade Nova;(68) 3615-1056;5858208
Acre;Sena Madureira;Hospital João Câncio Fernandes;Rua Quintino Bocaiúva, 1054 - Centro;(68) 3612-2271;2000865
Acre;Senador Guiomard;Hospital Dr. Ari Rodrigues;Avenida Eduardo Assmar, 133 - COHAB;(68) 3232-2667;2000725
Acre;Tarauacá;Hospital Dr. Sansão Gomes;Avenida Avelino Leal, 1221 - Copacabana;(68) 99954-9484;2000121
Acre;Xapuri;Hospital Epaminondas Jácome;Rua 6 de Agosto, 240 - Centro;(68) 3542-2316;2000393
Alagoas;Arapiraca;Unidade de Emergência Dr. Daniel Houly;Rod. AL 220,km 05 s/n Arapiraca;(82) 359-2450 e 3529- 2488;3015408
Alagoas;Delmiro Gouveia;UPA Delmiro Gouveia;R. Luiz Luna Torres, Delmiro Gouveia;(82) 98114-0105;7641117
Alagoas;Palmeira Dos Índios;UPA Palmeira dos Índios;R. Bráulio Montenegro, 2311 - Vila Maria;(82) 3421-2309;7481624
Alagoas;Pão de Açúcar;Unid. Mista Djalma G. dos Anjos;Rua Padre José Soares Pinto, 850 - Centro;(82) 3624-1128;2719290
Alagoas;Penedo;Unid. de Emergência Enfermeiro Antônio de Jesus;Rua Matheus Ferreira, s/n - Santa Luzia;(82) 3551-3355;7097794
Alagoas;Piranhas;Unid. Senador Afonso Farias de Melo;Avenida Maceió, s/n - Xingó;(82) 3686-1972/1195;2704544
Alagoas;Santana do Ipanema;Hospital Regional Dr. Clodolfo Melo;Avenida João Agostinho - Santo Antônio;(82) 3621-3588;5616298
Alagoas;Maceió;Hospital Escola Dr. Helvio Auto - HEHA;Rua Cônego Fernando Lyra, no Trapiche da Barra;(82) 3315-6826 e (82) 3315-3244;2720035
Alagoas;Maceió;UPA 24 horas Dr Ismar Gatto;Av. Juca Sampaio, 600, Jacintinho;(82) 3023-5682;4156730
Alagoas;Maceió;UPA Galba Novaes;Av. Maceió, 341 - Tabuleiro do Martins, Maceió - AL, 57061- 110;(82) 3315-3504;4156714
Alagoas;Coruripe;UPA Coruripe;Praça Dr. Castro Azevedo, 47 Centro;(82) 99127-1490;7471645
Alagoas;Maragogi;UPA Maragogi;AL-101, 200 - Maragogi, AL, 57955- 000;(82) 99305-4192;7916043
Alagoas;Porto Calvo;Hospital Regional do Norte;Rua Alto da Forca s/n, Bairro Mangazala, Rodovia AL105 CEP 57900.000.;(82) 98889-9642;7042671
Alagoas;União dos Palmares;Hospital Regional da Mata;BR-104 - União dos Palmares, AL, 57800- 000;(82) 3281-9300;7753470
Alagoas;Viçosa;UPA Viçosa;R. Juarez Távora, 57 - Viçosa, AL, 57700-000;(82) 9954-1345;7099185
Amapá;Amapá;Unidade Mista de Saúde de Amapá;Avenida Guarani, 742 - Nova Esperança;Indisponível;2019701
Amapá;Calçoene;Unidade Mista de Saúde de Calçoene;Avenida FAB, 726 - Liberdade;Indisponível;2019728
Amapá;Cutias;U.B.S Américo Coelho Pereira;Avenida Isaias de Jesus Leite, 151 - Centro;Indisponível;2021021
Amapá;Ferreira Gomes;Unidade Mista de Saúde de Ferreira Gomes;Avenida Luzia Serra Cavalcante, 774;Indisponível;2019663
Amapá;Itaubal;Unidade Básica de Saúde de Itaubal;Rua João Palma dos Reis, s/n;Indisponível;2021293
Amapá;Laranjal do Jarí;Hospital Estadual de Laranjal do Jarí;Avenida Tancredo Neves, 2435 - Agreste;(96) 3621- 2719;2020076
