municipio,latitude,longitude,mes,acidentes_previstos
"Município (-0.05, -51.17)",-0.045434,-51.1729,Jan,200
"Município (-0.05, -51.17)",-0.045434,-51.1729,Fev,200
"Município (-0.05, -51.17)",-0.045434,-51.1729,Mar,200
"Município (-0.05, -51.17)",-0.045434,-51.1729,Abr,200
"Município (-0.05, -51.17)",-0.045434,-51.1729,Mai,200
"Município (-0.05, -51.17)",-0.045434,-51.1729,Jun,200
"Município (-0.05, -51.17)",-0.045434,-51.1729,Jul,200
"Município (-0.05, -51.17)",-0.045434,-51.1729,Ago,200
"Município (-0.05, -51.17)",-0.045434,-51.1729,Set,200
"Município (-0.05, -51.17)",-0.045434,-51.1729,Out,200
"Município (-0.05, -51.17)",-0.045434,-51.1729,Nov,200
"Município (-0.05, -51.17)",-0.045434,-51.1729,Dez,200
"Município (-0.11, -51.29)",-0.11336,-51.2891,Jan,200
"Município (-0.11, -51.29)",-0.11336,-51.2891,Fev,200
"Município (-0.11, -51.29)",-0.11336,-51.2891,Mar,200
"Município (-0.11, -51.29)",-0.11336,-51.2891,Abr,200
"Município (-0.11, -51.29)",-0.11336,-51.2891,Mai,200
"Município (-0.11, -51.29)",-0.11336,-51.2891,Jun,200
"Município (-0.11, -51.29)",-0.11336,-51.2891,Jul,200
"Município (-0.11, -51.29)",-0.11336,-51.2891,Ago,200
"Município (-0.11, -51.29)",-0.11336,-51.2891,Set,200
"Município (-0.11, -51.29)",-0.11336,-51.2891,Out,200
"Município (-0.11, -51.29)",-0.11336,-51.2891,Nov,200
"Município (-0.11, -51.29)",-0.11336,-51.2891,Dez,200
"Município (-0.12, -67.08)",-0.11909,-67.084,Jan,200
"Município (-0.12, -67.08)",-0.11909,-67.084,Fev,200
"Município (-0.12, -67.08)",-0.11909,-67.084,Mar,200
"Município (-0.12, -67.08)",-0.11909,-67.084,Abr,200
"Município (-0.12, -67.08)",-0.11909,-67.084,Mai,200
"Município (-0.12, -67.08)",-0.11909,-67.084,Jun,200
"Município (-0.12, -67.08)",-0.11909,-67.084,Jul,200
"Município (-0.12, -67.08)",-0.11909,-67.084,Ago,200
"Município (-0.12, -67.08)",-0.11909,-67.084,Set,200
"Município (-0.12, -67.08)",-0.11909,-67.084,Out,200
"Município (-0.12, -67.08)",-0.11909,-67.084,Nov,200
"Município (-0.12, -67.08)",-0.11909,-67.084,Dez,200
"Município (-0.15, -50.39)",-0.154874,-50.3861,Jan,200
"Município (-0.15, -50.39)",-0.154874,-50.3861,Fev,200
"Município (-0.15, -50.39)",-0.154874,-50.3861,Mar,200
"Município (-0.15, -50.39)",-0.154874,-50.3861,Abr,200
"Município (-0.15, -50.39)",-0.154874,-50.3861,Mai,200
"Município (-0.15, -50.39)",-0.154874,-50.3861,Jun,200
"Município (-0.15, -50.39)",-0.154874,-50.3861,Jul,200
"Município (-0.15, -50.39)",-0.154874,-50.3861,Ago,200
"Município (-0.15, -50.39)",-0.154874,-50.3861,Set,200
"Município (-0.15, -50.39)",-0.154874,-50.3861,Out,200
"Município (-0.15, -50.39)",-0.154874,-50.3861,Nov,200
"Município (-0.15, -50.39)",-0.154874,-50.3861,Dez,200
"Município (-0.16, -49.99)",-0.164154,-49.987,Jan,200
"Município (-0.16, -49.99)",-0.164154,-49.987,Fev,200
"Município (-0.16, -49.99)",-0.164154,-49.987,Mar,200
"Município (-0.16, -49.99)",-0.164154,-49.987,Abr,200
"Município (-0.16, -49.99)",-0.164154,-49.987,Mai,200
"Município (-0.16, -49.99)",-0.164154,-49.987,Jun,200
"Município (-0.16, -49.99)",-0.164154,-49.987,Jul,200
